2016-12-01	1	16324
2016-12-01	2	75552
2016-12-01	4	36958
2016-12-01	5	148465
2016-12-01	40000003	2986
2016-12-02	1	19622
2016-12-02	2	3240031
2016-12-02	4	58879
2016-12-02	5	140965
2016-12-02	40000003	4176
2016-12-03	1	18648
2016-12-03	2	1006205
2016-12-03	4	43592
2016-12-03	5	139698
2016-12-03	40000003	2817
2016-12-04	1	17563
2016-12-04	2	373100
2016-12-04	4	36750
2016-12-04	5	142143
2016-12-04	40000003	2341
2016-12-05	1	18806
2016-12-05	2	468999
2016-12-05	4	49323
2016-12-05	5	130002
2016-12-05	40000001	16830
2016-12-05	40000003	4834
2016-12-06	1	15636
2016-12-06	2	289274
2016-12-06	4	26469
2016-12-06	5	142165
2016-12-06	40000001	11162
2016-12-06	40000003	2221
2016-12-07	1	15258
2016-12-07	2	175348
2016-12-07	4	28410
2016-12-07	5	127663
2016-12-07	40000001	11031
2016-12-07	40000003	2182
2016-12-08	1	16443
2016-12-08	2	198615
2016-12-08	4	25599
2016-12-08	5	129384
2016-12-08	40000001	11116
2016-12-08	40000003	1975
2016-12-09	1	19026
2016-12-09	2	149194
2016-12-09	4	33807
2016-12-09	5	127589
2016-12-09	40000001	10783
2016-12-09	40000003	1595
2016-12-10	1	15656
2016-12-10	2	134400
2016-12-10	4	37663
2016-12-10	5	131069
2016-12-10	40000001	10609
2016-12-10	40000003	1198
2016-12-11	1	16303
2016-12-11	2	127353
2016-12-11	4	40049
2016-12-11	5	132895
2016-12-11	40000001	10876
2016-12-11	40000003	1305
2016-12-12	1	17483
2016-12-12	2	168648
2016-12-12	4	37378
2016-12-12	5	128222
2016-12-12	40000001	48134
2016-12-12	40000003	1236
2016-12-13	1	13634
2016-12-13	2	124846
2016-12-13	4	41763
2016-12-13	5	146412
2016-12-13	40000001	23522
2016-12-13	40000003	1001
2016-12-14	1	14848
2016-12-14	2	132437
2016-12-14	4	33726
2016-12-14	5	133462
2016-12-14	40000001	24663
2016-12-14	40000003	812
2016-12-15	1	15007
2016-12-15	2	131123
2016-12-15	4	35759
2016-12-15	5	137096
2016-12-15	40000001	3684
2016-12-15	40000003	805
2016-12-16	1	13119
2016-12-16	2	105798
2016-12-16	4	31720
2016-12-16	5	132528
2016-12-16	40000001	2134
2016-12-16	40000003	438
2016-12-17	1	14399
2016-12-17	2	118423
2016-12-17	4	42147
2016-12-17	5	133110
2016-12-17	40000001	1091
2016-12-17	40000003	508
2016-12-18	1	20849
2016-12-18	2	116972
2016-12-18	4	26127
2016-12-18	5	137447
2016-12-18	40000001	859
2016-12-18	40000003	438
2016-12-19	1	17164
2016-12-19	2	92537
2016-12-19	4	44242
2016-12-19	5	133683
2016-12-19	40000001	533
2016-12-19	40000003	259
2016-12-20	1	16370
2016-12-20	2	97993
2016-12-20	4	27046
2016-12-20	5	118224
2016-12-20	40000001	531
2016-12-20	40000003	318
2016-12-21	1	17117
2016-12-21	2	83462
2016-12-21	4	35748
2016-12-21	5	130736
2016-12-21	40000001	328
2016-12-21	40000003	274
2016-12-22	1	16180
2016-12-22	2	95687
2016-12-22	4	31061
2016-12-22	5	129623
2016-12-22	40000001	362
2016-12-22	40000003	321
2016-12-23	1	19748
2016-12-23	2	3264075
2016-12-23	4	47856
2016-12-23	5	121587
2016-12-23	40000001	597
2016-12-23	40000003	477
2016-12-24	1	19724
2016-12-24	2	1928019
2016-12-24	4	37071
2016-12-24	5	115676
2016-12-24	40000001	499
2016-12-24	40000003	489
2016-12-25	1	17629
2016-12-25	2	529837
2016-12-25	4	23181
2016-12-25	5	109461
2016-12-25	40000001	394
2016-12-25	40000003	447
2016-12-26	1	18175
2016-12-26	2	464844
2016-12-26	4	20432
2016-12-26	5	112584
2016-12-26	40000001	200
2016-12-26	40000003	342
2016-12-27	1	16343
2016-12-27	2	286009
2016-12-27	4	20709
2016-12-27	5	103367
2016-12-27	40000001	174
2016-12-27	40000003	235
2016-12-28	1	15994
2016-12-28	2	236516
2016-12-28	4	17841
2016-12-28	5	104530
2016-12-28	40000001	105
2016-12-28	40000003	227
2016-12-29	1	15981
2016-12-29	2	259549
2016-12-29	4	21785
2016-12-29	5	103137
2016-12-29	40000001	90
2016-12-29	40000003	216
2016-12-30	1	18642
2016-12-30	2	195038
2016-12-30	4	35168
2016-12-30	5	90541
2016-12-30	20000093	46950
2016-12-30	40000001	181
2016-12-30	40000003	239
2016-12-31	1	21498
2016-12-31	2	217562
2016-12-31	4	33815
2016-12-31	5	100995
2016-12-31	20000093	20
2016-12-31	40000001	15
2016-12-31	40000003	19
