22668	236434	39428	101445	
29946	252832	371484	167756	
20281	217782	58948	154243	
19183	217217	49224	158809	
19951	254638	37394	159046	
24351	264865	38608	153526	
24932	171233	27109	154569	
26051	222525	38158	161302	
23246	743419	29225	155690	
23688	236511	27525	153872	
24062	145964	24575	146931	
24664	115386	22904	147157	
24870	135725	29314	144962	
24722	111029	24270	145211	
25132	105694	24243	145439	
26952	101852	22526	149730	
38514	173603	22618	127288	
44587	140002	28320	154084	
37756	107488	23164	155139	
37092	142987	17716	151145	
37295	97186	17790	154063	
38061	110385	19412	158754	
39275	106099	19763	159486	
56035	3534837	37777	149372	
45355	1260467	28859	146858	
43836	536746	19983	143113	
44108	564697	18713	121400	
44412	420548	27839	136932	
41767	368149	22657	132811	
44715	350534	17402	137580	
42567	258739	20001	140690	
41405	251676	21551	139321	
40458	195265	32092	147422	
40519	212178	26461	150633	
42164	229659	21221	157509	
41834	230050	24111	161682	
40994	226251	17725	167528	
42535	204217	19636	169658	
42099	158315	21720	171979	
41555	162770	19522	172049	
70524	1183868	32049	163330	
49611	572825	24442	163919	
42790	409168	18707	159233	
35196	367086	16388	145082	
34118	545220	16296	137892	
30902	262716	18100	138575	
31002	318417	16748	142518	
34799	210201	18356	144809	
49305	214836	20820	149943	
44045	232052	22045	153470	
36442	211112	21239	135489	
35344	216401	19601	139015	
34808	241155	13228	140815	
33209	180461	17926	140223	
