2599	23895	151548.0000	998	159205.8500	1746	
2333	22777	197444.0000	1132	198956.3700	2076	
1929	21161	112800.0000	780	117306.5200	1491	
1945	21207	124082.0000	796	124242.3400	1432	
2022	21339	120676.0000	752	117937.8600	1423	
2111	22137	120144.5600	788	119299.5300	1447	
2683	24471	92612.0000	741	93241.4400	1493	
2503	24380	106574.0000	717	108564.9800	1442	
1978	22193	159824.0000	857	160269.4100	1567	
2130	22056	111144.0000	739	115770.5400	1379	
2499	23507	102164.0000	771	98877.7500	1418	
2669	23584	98360.0000	670	98821.4100	1286	
2844	23530	104952.0000	659	105050.1300	1218	
2948	24107	90550.0000	663	90865.1500	1268	
2942	24178	78196.0000	657	81734.7600	1251	
2761	23681	105040.0000	707	103812.7000	1268	
1779	19051	371140.0000	1411	360648.3900	2159	
1853	21122	226440.0000	1174	219079.2800	2125	
1638	21151	164470.0000	940	166278.5000	1888	
1657	20985	149178.0000	860	147044.2100	1643	
1569	20759	140176.0000	767	141039.9700	1545	
1588	20925	138490.0000	822	134551.8100	1541	
1678	22583	106648.0000	726	103807.6600	1509	
1603	21798	546958.6900	1779	492260.4900	2628	
1500	21775	202997.5300	1097	212610.7700	2033	
1594	21672	155243.1200	901	147208.4800	1664	
1477	22016	174153.3300	2382	155113.8400	2238	
1696	22584	207455.7000	1459	201284.7200	1908	
2062	22372	169451.6400	1020	169888.0300	1683	
1927	22205	175575.6400	922	161201.5700	1655	
1528	21489	157791.2200	888	159223.8900	1580	
